markets,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,ids,popularity
184.0,5xUf6j4upBrXZPg6AI4MRK,283026.0,0.00152,0.574,0.739,0.000328,0.141,-5.745,0.0271,101.069,0.514,4.0,0.0,3.0,1.0,5xUf6j4upBrXZPg6AI4MRK,68.0
184.0,5xUf6j4upBrXZPg6AI4MRK,283026.0,0.00152,0.574,0.739,0.000328,0.141,-5.745,0.0271,101.069,0.514,4.0,0.0,3.0,1.0,5xUf6j4upBrXZPg6AI4MRK,65.0
185.0,0T7JQxpy1Li93vLNirbv0Z,300240.0,0.000577,0.341,0.912,0.0,0.428,-4.03,0.0393,177.051,0.416,6.0,0.0,4.0,1.0,0T7JQxpy1Li93vLNirbv0Z,49.0
185.0,3RJbkbBAHUe5EEw7dpDVUV,232333.0,0.00784,0.473,0.918,0.00011,0.128,-5.009,0.0441,104.558,0.481,2.0,1.0,4.0,1.0,3RJbkbBAHUe5EEw7dpDVUV,21.0
184.0,2UazAtjfzqBF0Nho2awK4z,334386.0,0.00483,0.661,0.485,0.000311,0.086,-9.161,0.0304,107.761,0.171,4.0,0.0,4.0,1.0,2UazAtjfzqBF0Nho2awK4z,67.0
185.0,0pnTDtr7r9ThLMVrEZ6byK,261893.0,0.178,0.481,0.745,0.0,0.321,-3.355,0.0449,78.967,0.375,1.0,0.0,4.0,1.0,0pnTDtr7r9ThLMVrEZ6byK,30.0
184.0,7vCtweS8UVAXTyau2j0rDT,228186.0,0.13,0.605,0.864,0.000803,0.113,-5.365,0.0292,122.919,0.736,6.0,1.0,4.0,1.0,7vCtweS8UVAXTyau2j0rDT,65.0
184.0,7vCtweS8UVAXTyau2j0rDT,228186.0,0.13,0.605,0.864,0.000803,0.113,-5.365,0.0292,122.919,0.736,6.0,1.0,4.0,1.0,7vCtweS8UVAXTyau2j0rDT,62.0
184.0,4NGiEU3Pkd8ASRyQR30jcA,215173.0,0.241,0.672,0.623,0.0,0.0848,-5.699,0.0297,92.018,0.617,9.0,1.0,4.0,1.0,4NGiEU3Pkd8ASRyQR30jcA,52.0
184.0,4NGiEU3Pkd8ASRyQR30jcA,215173.0,0.241,0.672,0.623,0.0,0.0848,-5.699,0.0297,92.018,0.617,9.0,1.0,4.0,1.0,4NGiEU3Pkd8ASRyQR30jcA,50.0
160.0,3RqBeV12Tt7A8xH3zBDDUF,192840.0,0.014,0.643,0.72,0.0,0.0834,-7.146,0.0527,96.028,0.491,2.0,1.0,4.0,1.0,3RqBeV12Tt7A8xH3zBDDUF,68.0
160.0,3RqBeV12Tt7A8xH3zBDDUF,192840.0,0.014,0.643,0.72,0.0,0.0834,-7.146,0.0527,96.028,0.491,2.0,1.0,4.0,1.0,3RqBeV12Tt7A8xH3zBDDUF,67.0
160.0,3RqBeV12Tt7A8xH3zBDDUF,192840.0,0.014,0.643,0.72,0.0,0.0834,-7.146,0.0527,96.028,0.491,2.0,1.0,4.0,1.0,3RqBeV12Tt7A8xH3zBDDUF,64.0
181.0,2TL8gYTNgD6nXkyuUdDrMg,178355.0,0.851,0.512,0.245,0.0,0.131,-8.828,0.0338,93.971,0.266,2.0,0.0,4.0,1.0,2TL8gYTNgD6nXkyuUdDrMg,65.0
181.0,2TL8gYTNgD6nXkyuUdDrMg,178355.0,0.851,0.512,0.245,0.0,0.131,-8.828,0.0338,93.971,0.266,2.0,0.0,4.0,1.0,2TL8gYTNgD6nXkyuUdDrMg,63.0
185.0,4g7R2X5sUsylJwYxnfwCJR,281360.0,0.819,0.647,0.347,0.0,0.148,-7.22,0.0273,104.849,0.473,7.0,0.0,4.0,1.0,4g7R2X5sUsylJwYxnfwCJR,35.0
185.0,2M4Yt7oKGoYd0wqU44k4i2,241533.0,0.246,0.595,0.653,0.0,0.264,-4.935,0.0265,128.93,0.542,7.0,1.0,4.0,1.0,2M4Yt7oKGoYd0wqU44k4i2,63.0
185.0,2M4Yt7oKGoYd0wqU44k4i2,241533.0,0.246,0.595,0.653,0.0,0.264,-4.935,0.0265,128.93,0.542,7.0,1.0,4.0,1.0,2M4Yt7oKGoYd0wqU44k4i2,60.0
185.0,4QQgXkCYTt3BlENzhyNETg,216022.0,0.146,0.674,0.832,5.06e-06,0.138,-7.892,0.0308,125.996,0.981,9.0,1.0,4.0,1.0,4QQgXkCYTt3BlENzhyNETg,73.0
185.0,4QQgXkCYTt3BlENzhyNETg,216022.0,0.146,0.674,0.832,5.06e-06,0.138,-7.892,0.0308,125.996,0.981,9.0,1.0,4.0,1.0,4QQgXkCYTt3BlENzhyNETg,74.0
185.0,4QQgXkCYTt3BlENzhyNETg,216022.0,0.146,0.674,0.832,5.06e-06,0.138,-7.892,0.0308,125.996,0.981,9.0,1.0,4.0,1.0,4QQgXkCYTt3BlENzhyNETg,70.0
185.0,2TL8gYTNgD6nXkyuUdDrMg,247816.0,0.837,0.563,0.332,0.0,0.0997,-7.44,0.0335,110.555,0.517,11.0,1.0,4.0,1.0,2TL8gYTNgD6nXkyuUdDrMg,65.0
185.0,2TL8gYTNgD6nXkyuUdDrMg,247816.0,0.837,0.563,0.332,0.0,0.0997,-7.44,0.0335,110.555,0.517,11.0,1.0,4.0,1.0,2TL8gYTNgD6nXkyuUdDrMg,63.0
185.0,3sUpZrkehiGBaMzs2h9Mmc,201066.0,0.00291,0.5,0.748,0.0,0.112,-5.927,0.0364,148.009,0.448,0.0,1.0,4.0,1.0,3sUpZrkehiGBaMzs2h9Mmc,63.0
185.0,3sUpZrkehiGBaMzs2h9Mmc,201066.0,0.00291,0.5,0.748,0.0,0.112,-5.927,0.0364,148.009,0.448,0.0,1.0,4.0,1.0,3sUpZrkehiGBaMzs2h9Mmc,61.0
184.0,5yhxqYI0JBwUKfXpSEjiM8,290680.0,0.391,0.544,0.404,3.98e-06,0.157,-8.751,0.0354,129.518,0.251,3.0,1.0,4.0,1.0,5yhxqYI0JBwUKfXpSEjiM8,60.0
185.0,2RdwBSPQiwcmiDo9kixcl8,232720.0,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,0.962,5.0,0.0,4.0,1.0,2RdwBSPQiwcmiDo9kixcl8,79.0
185.0,2RdwBSPQiwcmiDo9kixcl8,232720.0,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,0.962,5.0,0.0,4.0,1.0,2RdwBSPQiwcmiDo9kixcl8,76.0
185.0,2RdwBSPQiwcmiDo9kixcl8,232720.0,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,0.962,5.0,0.0,4.0,1.0,2RdwBSPQiwcmiDo9kixcl8,75.0
185.0,3grHWM9bx2E9vwJCdlRv9O,243666.0,0.0409,0.532,0.842,0.0,0.217,-5.754,0.0503,90.187,0.67,5.0,1.0,4.0,1.0,3grHWM9bx2E9vwJCdlRv9O,72.0
185.0,3grHWM9bx2E9vwJCdlRv9O,243666.0,0.0409,0.532,0.842,0.0,0.217,-5.754,0.0503,90.187,0.67,5.0,1.0,4.0,1.0,3grHWM9bx2E9vwJCdlRv9O,69.0
185.0,7z2avKuuiMAT4XZJFv8Rvh,198101.0,0.679,0.477,0.52,4.34e-06,0.0978,-7.582,0.395,171.895,0.383,9.0,1.0,4.0,1.0,7z2avKuuiMAT4XZJFv8Rvh,66.0
185.0,7z2avKuuiMAT4XZJFv8Rvh,198101.0,0.679,0.477,0.52,4.34e-06,0.0978,-7.582,0.395,171.895,0.383,9.0,1.0,4.0,1.0,7z2avKuuiMAT4XZJFv8Rvh,67.0
185.0,7z2avKuuiMAT4XZJFv8Rvh,198101.0,0.679,0.477,0.52,4.34e-06,0.0978,-7.582,0.395,171.895,0.383,9.0,1.0,4.0,1.0,7z2avKuuiMAT4XZJFv8Rvh,64.0
185.0,7wzaSKTsjE9HnuDuZTX452,190354.0,0.0397,0.595,0.86,0.0,0.135,-5.138,0.116,90.987,0.31,1.0,1.0,4.0,1.0,7wzaSKTsjE9HnuDuZTX452,42.0
185.0,5Zq7R5qmi58ByYyBQTlNuk,188893.0,0.29,0.643,0.79,0.0,0.107,-6.079,0.0461,95.981,0.808,4.0,1.0,4.0,1.0,5Zq7R5qmi58ByYyBQTlNuk,68.0
185.0,5Zq7R5qmi58ByYyBQTlNuk,188893.0,0.29,0.643,0.79,0.0,0.107,-6.079,0.0461,95.981,0.808,4.0,1.0,4.0,1.0,5Zq7R5qmi58ByYyBQTlNuk,65.0
